from,to
100,75
100,122
100,189
100,213
100,235
100,419
100,423
100,511
100,515
100,630
100,835
100,912
100,990
100,1031
100,1053
100,1169
100,1173
100,1248
100,1360
100,1373
100,1400
100,1759
100,2057
100,2110
100,2171
100,2262
100,2492
100,2508
100,2644
100,2672
100,2690
100,2937
100,2975
100,2980
100,4155
100,5138
100,5277
100,5294
100,5445
100,5450
100,5515
100,5582
100,5659
100,5669
100,5692
100,5697
100,5964
100,5980
100,6028
100,6030
100,6032
100,6033
100,6062
100,6084
100,6086
100,6094
100,6334
100,6446
100,6496
100,6552
100,6578
100,6580
100,6675
100,6733
100,6778
100,7158
100,7212
100,7254
100,7405
100,7413
100,7495
100,8006
100,8234
100,8293
100,8316
100,9005
100,9096
100,9277
100,9767
100,9775
100,9896
100,10015
100,10198
100,10199
100,10941
100,11098
100,11264
100,11808
