from,to
100,423
100,912
100,1053
100,1173
100,1400
100,2057
100,2262
100,2690
100,2690
100,2980
100,2980
100,2980
100,2980
100,2980
100,2980
100,2980
100,2980
100,2980
100,2980
100,2980
100,2980
100,2980
100,2980
100,2980
100,2980
100,2980
100,2980
100,2980
100,2980
100,2980
100,2980
100,2980
100,2980
100,2980
100,4155
100,4155
100,4155
100,4155
100,4155
100,4155
100,4155
100,4155
100,4155
100,4155
100,4155
100,4155
100,4155
100,4155
100,4155
100,4155
100,4155
100,5138
100,5138
100,5138
100,5138
100,5138
100,5138
100,5138
100,5294
100,5294
100,5294
100,5294
100,5294
100,5450
100,5450
100,5669
100,5669
100,5669
100,5697
100,5697
100,5697
100,5697
100,5697
100,5697
100,5697
100,5697
100,5697
100,5980
100,5980
100,6028
100,6033
100,6094
100,6094
100,6094
100,6094
100,6094
100,6446
100,6446
100,6496
100,6496
100,6580
100,6580
100,6580
100,6675
100,6675
100,6733
100,6778
100,6778
100,6778
100,6778
100,6778
100,6778
100,7405
100,7495
100,7495
100,7495
100,8006
100,8293
100,8316
100,8316
100,8316
100,8316
100,9005
100,9005
100,9096
100,9096
100,9096
100,9096
100,9277
100,9277
100,9277
100,9277
100,9896
100,10015
100,10015
100,10199
100,10199
100,10199
100,10199
100,10199
100,10199
100,10199
100,10941
100,10941
100,11264
100,11264
100,11264
100,11264
100,11264
100,11264
